titulo,subtitulo,text,tags,urlRepo,urlDemo,urlOutro,urlImagem,entidades,autores
BioInova,"Estudos sobre crédito de carbono, estoque de carbono e biomassa aérea no estado da Paraíba.","BioInova é um esforço de pesquisa do ARIA em ciência de dados aplicada ao tema de crédito de carbono. O projeto estuda o estoque de carbono e a biomassa aérea no estado da Paraíba, cruzando dados ambientais e econômicos para subsidiar decisões de política e mercado.

Em parceria com a SECTIES (Secretaria de Estado da Ciência, Tecnologia, Inovação e Ensino Superior), o trabalho conecta sensoriamento e modelagem com a discussão prática de crédito de carbono — uma área cada vez mais relevante para o agronegócio, para investidores e para políticas públicas voltadas à economia verde.

_Projeto ativo, em parceria com a SECTIES._",Carbono;Ciência de Dados;Economia;Meio Ambiente,,,,,ARIA,
Detecção de fraude fiscal,NLP e IA para detecção de fraude fiscal e monitoramento de cargas.,"Aplicação de NLP e IA na detecção de fraude fiscal e no monitoramento de cargas em circulação na Paraíba. O projeto, em parceria com a Secretaria de Estado da Fazenda da Paraíba (SEFAZ-PB), processa documentos fiscais em larga escala para identificar padrões suspeitos — desde notas fiscais com inconsistências até esquemas de circulação de mercadorias que apontam para sonegação.

A combinação de processamento de linguagem natural com modelos preditivos permite triagem automatizada do volume de documentos que a Receita estadual recebe diariamente, redirecionando o tempo dos auditores humanos para os casos de maior potencial.

_Projeto ativo, em parceria com a SEFAZ-PB._",Fraude Fiscal;Governo;IA;NLP,,,,,ARIA,
IA aplicada à música,Pesquisa e desenvolvimento de modelos de IA aplicados à música.,"Pesquisa e desenvolvimento de modelos de IA aplicados ao processamento e análise de música. Em parceria com a Moises — empresa brasileira que é referência mundial em ferramentas de áudio com IA para músicos — o projeto explora desafios na fronteira do estado da arte: separação de fontes (stems), transcrição automática, análise harmônica, classificação e síntese.

A colaboração entre laboratório acadêmico e empresa de ponta cria um ciclo virtuoso: as questões da pesquisa vêm de problemas reais do produto, e os resultados retornam ao mercado com aplicação imediata para milhões de usuários.

_Projeto ativo, em parceria com a Moises._",Aprendizagem de Máquina;Áudio;IA;Música,,,,,ARIA,
OCR para receitas médicas,Modelos de OCR para leitura de receitas médicas digitadas e manuscritas.,"Modelos de OCR (reconhecimento óptico de caracteres) especializados em receitas médicas, abrangendo tanto receitas digitadas quanto manuscritas. O projeto, em parceria com a Unimed, busca automatizar a leitura desses documentos — uma tarefa notoriamente difícil pela variabilidade caligráfica, jargão médico e formatos pouco padronizados.

A automação tem implicações concretas: reduz erros de digitação manual, agiliza a integração com sistemas de farmácia e prontuário eletrônico, e abre caminho para auditorias e análises agregadas que hoje são inviáveis pelo formato dos dados.

_Projeto ativo, em parceria com a Unimed._",Classificação;OCR;Saúde;Visão Computacional,,,,,ARIA,
Processamento e análise de dados da Lotep,Sistema de captura e análise de dados das empresas vinculadas à Lotep.,"Construção de um sistema de captura, integração e análise de dados das empresas vinculadas à Lotep (Loteria do Estado da Paraíba). A solução cobre desde a coleta automatizada das informações operacionais e financeiras até dashboards e modelos preditivos que apoiam o monitoramento da atividade do setor de apostas regulado no estado.

Para a Lotep, o sistema viabiliza visão consolidada do mercado regulado, identificação de inconsistências e suporte à fiscalização — funções que historicamente dependiam de processos manuais ou planilhas dispersas.

_Projeto ativo, em parceria com a Lotep._",Apostas;Ciência de Dados;Governo;IA,,,,,ARIA,
Segmentação automática do tecido glandular mamário,Segmentação do tecido mamário em tomossíntese usando deep learning.,"Pesquisa em segmentação automática do tecido glandular mamário em exames de tomossíntese, usando arquiteturas de deep learning para visão computacional. O projeto é desenvolvido em parceria com a Universidade da Pensilvânia e visa apoiar diagnósticos mais precisos a partir desse tipo de imagem.

A segmentação correta do tecido glandular é um passo intermediário crítico em pipelines de detecção de câncer de mama: a partir dela é possível avaliar densidade mamária, localizar regiões de interesse e calibrar modelos posteriores de classificação. Automatizar essa etapa reduz a variabilidade entre observadores humanos e libera tempo dos radiologistas para análises mais complexas.

_Projeto ativo, em parceria com a Universidade da Pensilvânia._",Deep Learning;Medicina;Saúde;Visão Computacional,,,,,ARIA,
Unificação de bases SEFAZ e SSDS,Banco de dados de documentos fiscais e aplicações de IA para integração de dados fiscais da Paraíba.,"Construção de um banco de dados unificado de documentos fiscais da Paraíba, com aplicações de IA voltadas à integração e à análise cruzada das bases da SEFAZ-PB (Fazenda) e da SSDS (Secretaria de Segurança e Defesa Social). A integração permite cruzar informações tributárias com dados de segurança em consultas que antes exigiam fluxos manuais entre órgãos.

Para órgãos públicos, esse tipo de unificação é um vetor de eficiência e investigação: detecção de organizações criminosas com fachada fiscal, identificação de padrões de circulação de mercadorias suspeitos, e suporte a auditorias coordenadas entre setores.

_Projeto ativo, em parceria com a SEFAZ-PB._",Banco de Dados;Governo;IA;Integração,,,,,ARIA,
Visão computacional aplicada ao Goalball,Modelos de IA com visão computacional para extrair estatísticas em tempo real de jogos de Goalball.,"Modelos de IA com visão computacional para extrair estatísticas em tempo real de partidas de Goalball — esporte paralímpico jogado por atletas com deficiência visual, em quadra coberta com bola sonora. O projeto, em parceria com o Comitê Paralímpico do Brasil, dá às equipes técnicas uma camada de análise quantitativa que até pouco tempo dependia de anotação manual.

Métricas como tempo de posse por equipe, eficiência defensiva, padrões de ataque e velocidade de transição passam a ser computadas automaticamente a partir do vídeo da partida — alimentando treino, scouting e a evolução tática do esporte.

_Projeto ativo, em parceria com o Comitê Paralímpico do Brasil._",Esportes;IA;Vídeo;Visão Computacional,,,,,ARIA,
Visão computacional para contagem de compressas em cirurgias,"Modelos para detecção, rastreamento e contagem de compressas em vídeos de cirurgias.","Pesquisa e desenvolvimento de modelos para detecção, rastreamento e contagem de compressas em vídeos de cirurgias, em parceria com a DHauz. A motivação é direta e crítica: garantir que nenhuma compressa cirúrgica seja deixada inadvertidamente dentro do paciente — um erro raro porém grave que ainda hoje depende, em muitos hospitais, da contagem manual da equipe.

A automação por visão computacional adiciona uma camada de verificação independente ao protocolo cirúrgico, particularmente útil em procedimentos longos ou com múltiplas equipes. A combinação de detecção, tracking ao longo do tempo e contagem agregada exige modelos robustos a oclusão, mudanças de iluminação e movimento — desafios técnicos típicos de visão computacional aplicada à cirurgia.

_Projeto ativo, em parceria com a DHauz._",Medicina;Saúde;Vídeo;Visão Computacional,,,,,ARIA,
Classificação de Empenhos,Classificação automática de empenhos dos municípios da Paraíba.,"Classificação automática de empenhos (ordens de pagamento) emitidos pelos municípios da Paraíba, desenvolvido em parceria com o Tribunal de Contas do Estado (TCE-PB). A solução analisa as descrições e metadados de cada empenho e atribui automaticamente a categoria correta de gasto público.

Para o TCE, a classificação automatizada reduz drasticamente o tempo necessário para análises agregadas dos gastos municipais — visualizações por categoria, comparações entre municípios e detecção de inconsistências passam a estar a poucos cliques de distância em vez de exigir tagging manual de milhares de registros.

_Projeto concluído, em parceria com o TCE-PB._",Ciência de Dados;Classificação;Governo;IA,,,,,ARIA,
Enetrix — Data Diplomacy,Plataforma para registro e monitoramento de cooperação energética.,"Plataforma para o registro e monitoramento de iniciativas de cooperação energética, em ciência de dados aplicada à diplomacia entre nações no setor de energia. O sistema centraliza informações sobre acordos, projetos conjuntos e métricas de cooperação, permitindo análise comparativa entre países e ao longo do tempo.

A camada de dados torna visível o que historicamente ficava disperso em relatórios isolados — viabilizando análises e dashboards para tomadores de decisão na área de relações internacionais e energia.

_Projeto concluído._",Ciência de Dados;Energia;Monitoramento;Plataforma,,,,,ARIA,
Turmalina,Sistema de avaliação automática de portais de transparência dos municípios da Paraíba.,"Sistema de avaliação automática dos portais de transparência dos municípios da Paraíba, em parceria com o TCE-PB. A solução combina web scraping com regras e modelos para verificar, periodicamente, se cada portal cumpre os critérios legais de transparência ativa: dados orçamentários, contratos, licitações, folha de pagamento, entre outros.

Em vez de depender de auditorias manuais ad hoc, o TCE passa a contar com monitoramento contínuo da conformidade dos portais — e os municípios recebem feedback claro sobre exatamente quais itens precisam ser corrigidos.

_Projeto concluído, em parceria com o TCE-PB._",Ciência de Dados;Governo;Transparência;Web Scraping,,,,,ARIA,
Visão computacional para beach tennis,Modelos de visão computacional aplicados a vídeos de beach tennis para entretenimento e efeitos visuais.,"Modelos de visão computacional aplicados a vídeos de beach tennis, em parceria com a FilmaEu. O foco aqui não é puramente analítico, e sim experiencial: gerar entretenimento e efeitos visuais a partir do vídeo da partida — destacando movimentos, jogadores e momentos-chave de forma automatizada para uso em redes sociais e em produtos audiovisuais.

A combinação de detecção, tracking e composição em vídeo abre espaço para que produtos como replays automáticos, infográficos animados e cortes temáticos sejam gerados sem trabalho manual de edição.

_Projeto concluído, em parceria com a FilmaEu._",Computação Gráfica;Esportes;Vídeo;Visão Computacional,,,,,ARIA,
Vistoria veicular com visão computacional,Automação de vistorias veiculares usando IA e visão computacional.,"Automação de vistorias veiculares usando IA e visão computacional, em parceria com a IARIS. O sistema analisa imagens do veículo enviadas pelo proprietário (ou capturadas por um vistoriador) e realiza checagens automáticas: condição da lataria, identificação de avarias, presença e estado de equipamentos obrigatórios, leitura de chassi e placa.

A automação reduz o tempo e o custo da vistoria, oferece padronização entre vistoriadores e abre possibilidades como vistorias remotas — algo cada vez mais demandado por seguradoras, consórcios e operações de aluguel de veículos.

_Projeto concluído, em parceria com a IARIS._",Detecção;IA;Veículos;Visão Computacional,,,,,ARIA,
